Store,DayOfWeek,Sales,Customers,Open,Promo,SchoolHoliday,year,month,day,StoreType,CompetitionDistance
7,3,3317,416,1,0,0,2015,5,27,0,1080
8,3,5266,449,1,0,0,2015,5,27,0,2460
9,3,9137,1345,1,0,0,2015,5,27,0,220
10,3,5672,511,1,0,0,2015,5,27,0,4740
11,3,11061,1520,1,0,0,2015,5,27,0,250
12,3,6509,665,1,0,0,2015,5,27,0,4260
13,3,6693,898,1,0,1,2015,5,27,0,340
14,3,3308,404,1,0,0,2015,5,27,0,350
15,3,6379,784,1,0,0,2015,5,27,0,4080
16,3,2742,370,1,0,0,2015,5,27,1,410
17,3,4285,376,1,0,0,2015,5,27,1,2380
18,3,4734,306,1,0,0,2015,5,27,1,7860
19,3,3660,344,1,0,0,2015,5,27,0,1980
20,3,5711,740,1,0,0,2015,5,27,0,690
1,2,4708,564,1,0,0,2015,5,26,0,570
2,2,5928,654,1,0,0,2015,5,26,0,8780
3,2,2392,351,1,0,0,2015,5,26,0,290
4,2,3243,324,1,0,0,2015,5,26,1,6880
5,2,8060,906,1,0,1,2015,5,26,0,1070
6,2,6698,528,1,0,1,2015,5,26,1,8250
7,2,3720,443,1,0,1,2015,5,26,0,1080
8,2,5818,469,1,0,0,2015,5,26,0,2460
9,2,9867,1525,1,0,0,2015,5,26,0,220
10,2,5717,486,1,0,0,2015,5,26,0,4740
11,2,13151,1824,1,0,0,2015,5,26,0,250
12,2,6923,662,1,0,0,2015,5,26,0,4260
13,2,6785,949,1,0,1,2015,5,26,0,340
14,2,2985,401,1,0,0,2015,5,26,0,350
15,2,7272,873,1,0,1,2015,5,26,0,4080
16,2,3792,455,1,0,0,2015,5,26,1,410
17,2,5313,467,1,0,1,2015,5,26,1,2380
18,2,4747,378,1,0,1,2015,5,26,1,7860
19,2,3694,373,1,0,0,2015,5,26,0,1980
20,2,4991,725,1,0,0,2015,5,26,0,690
1,1,0,0,0,0,0,2015,5,25,0,570
2,1,0,0,0,0,0,2015,5,25,0,8780
3,1,0,0,0,0,0,2015,5,25,0,290
4,1,0,0,0,0,0,2015,5,25,1,6880
5,1,0,0,0,0,0,2015,5,25,0,1070
6,1,0,0,0,0,0,2015,5,25,1,8250
7,1,0,0,0,0,0,2015,5,25,0,1080
8,1,0,0,0,0,0,2015,5,25,0,2460
9,1,0,0,0,0,0,2015,5,25,0,220
10,1,0,0,0,0,0,2015,5,25,0,4740
11,1,0,0,0,0,0,2015,5,25,0,250
12,1,0,0,0,0,0,2015,5,25,0,4260
13,1,0,0,0,0,0,2015,5,25,0,340
14,1,0,0,0,0,0,2015,5,25,0,350
15,1,0,0,0,0,0,2015,5,25,0,4080
16,1,0,0,0,0,0,2015,5,25,1,410
17,1,0,0,0,0,0,2015,5,25,1,2380
18,1,0,0,0,0,0,2015,5,25,1,7860
19,1,0,0,0,0,0,2015,5,25,0,1980
20,1,0,0,0,0,0,2015,5,25,0,690
1,7,0,0,0,0,0,2015,5,24,0,570
2,7,0,0,0,0,0,2015,5,24,0,8780
3,7,0,0,0,0,0,2015,5,24,0,290
4,7,0,0,0,0,0,2015,5,24,1,6880
5,7,0,0,0,0,0,2015,5,24,0,1070
6,7,0,0,0,0,0,2015,5,24,1,8250
7,7,0,0,0,0,0,2015,5,24,0,1080
8,7,0,0,0,0,0,2015,5,24,0,2460
9,7,0,0,0,0,0,2015,5,24,0,220
10,7,0,0,0,0,0,2015,5,24,0,4740
11,7,0,0,0,0,0,2015,5,24,0,250
12,7,0,0,0,0,0,2015,5,24,0,4260
13,7,0,0,0,0,0,2015,5,24,0,340
14,7,0,0,0,0,0,2015,5,24,0,350
15,7,0,0,0,0,0,2015,5,24,0,4080
16,7,0,0,0,0,0,2015,5,24,1,410
17,7,0,0,0,0,0,2015,5,24,1,2380
18,7,0,0,0,0,0,2015,5,24,1,7860
19,7,0,0,0,0,0,2015,5,24,0,1980
20,7,0,0,0,0,0,2015,5,24,0,690
1,6,2732,331,1,0,0,2015,5,23,0,570
2,6,1577,183,1,0,0,2015,5,23,0,8780
3,6,1033,125,1,0,0,2015,5,23,0,290
4,6,3352,324,1,0,0,2015,5,23,1,6880
5,6,6412,713,1,0,0,2015,5,23,0,1070
6,6,7183,655,1,0,0,2015,5,23,1,8250
7,6,3287,390,1,0,0,2015,5,23,0,1080
8,6,4941,432,1,0,0,2015,5,23,0,2460
9,6,9872,1563,1,0,0,2015,5,23,0,220
10,6,3808,354,1,0,0,2015,5,23,0,4740
11,6,9882,1352,1,0,0,2015,5,23,0,250
12,6,4057,418,1,0,0,2015,5,23,0,4260
13,6,6735,909,1,0,0,2015,5,23,0,340
14,6,1275,137,1,0,0,2015,5,23,0,350
15,6,4693,589,1,0,0,2015,5,23,0,4080
16,6,3283,399,1,0,0,2015,5,23,1,410
17,6,5499,492,1,0,0,2015,5,23,1,2380
18,6,5532,381,1,0,0,2015,5,23,1,7860
19,6,2401,228,1,0,0,2015,5,23,0,1980
20,6,3623,585,1,0,0,2015,5,23,0,690
1,5,4564,504,1,1,0,2015,5,22,0,570
2,5,5083,541,1,1,0,2015,5,22,0,8780
3,5,3232,367,1,1,0,2015,5,22,0,290
4,5,4027,384,1,1,0,2015,5,22,1,6880
5,5,8758,888,1,1,0,2015,5,22,0,1070
6,5,8527,658,1,1,0,2015,5,22,1,8250
7,5,4575,515,1,1,0,2015,5,22,0,1080
8,5,5996,492,1,1,0,2015,5,22,0,2460
9,5,11204,1611,1,1,0,2015,5,22,0,220
10,5,6555,546,1,1,0,2015,5,22,0,4740
11,5,13025,1740,1,1,0,2015,5,22,0,250
12,5,7871,696,1,1,0,2015,5,22,0,4260
13,5,7857,1021,1,1,0,2015,5,22,0,340
14,5,4354,517,1,1,0,2015,5,22,0,350
15,5,7591,937,1,1,0,2015,5,22,0,4080
16,5,3655,425,1,1,0,2015,5,22,1,410
17,5,6272,532,1,1,0,2015,5,22,1,2380
18,5,6219,433,1,1,0,2015,5,22,1,7860
19,5,4950,413,1,1,0,2015,5,22,0,1980
20,5,4914,707,1,1,0,2015,5,22,0,690
1,4,5431,609,1,1,0,2015,5,21,0,570
2,4,5931,597,1,1,0,2015,5,21,0,8780
3,4,3135,344,1,1,0,2015,5,21,0,290
4,4,4120,370,1,1,0,2015,5,21,1,6880
5,4,9810,954,1,1,0,2015,5,21,0,1070
6,4,8998,735,1,1,0,2015,5,21,1,8250
7,4,4590,530,1,1,0,2015,5,21,0,1080
8,4,5554,501,1,1,0,2015,5,21,0,2460
9,4,10604,1486,1,1,0,2015,5,21,0,220
10,4,5949,488,1,1,0,2015,5,21,0,4740
11,4,14754,1770,1,1,0,2015,5,21,0,250
12,4,7936,694,1,1,0,2015,5,21,0,4260
13,4,8762,1134,1,1,0,2015,5,21,0,340
14,4,4700,467,1,1,0,2015,5,21,0,350
15,4,7117,834,1,1,0,2015,5,21,0,4080
16,4,3596,366,1,1,0,2015,5,21,1,410
17,4,6215,510,1,1,0,2015,5,21,1,2380
18,4,4875,347,1,1,0,2015,5,21,1,7860
19,4,4584,397,1,1,0,2015,5,21,0,1980
20,4,5544,688,1,1,0,2015,5,21,0,690
1,3,6696,794,1,1,0,2015,5,20,0,570
2,3,6024,619,1,1,0,2015,5,20,0,8780
3,3,3433,363,1,1,0,2015,5,20,0,290
4,3,4240,343,1,1,0,2015,5,20,1,6880
5,3,10028,940,1,1,0,2015,5,20,0,1070
6,3,7723,582,1,1,0,2015,5,20,1,8250
7,3,5294,520,1,1,0,2015,5,20,0,1080
8,3,5469,464,1,1,0,2015,5,20,0,2460
9,3,10510,1442,1,1,0,2015,5,20,0,220
10,3,6900,561,1,1,0,2015,5,20,0,4740
11,3,14911,1795,1,1,0,2015,5,20,0,250
12,3,9896,845,1,1,0,2015,5,20,0,4260
13,3,8312,1041,1,1,0,2015,5,20,0,340
14,3,4428,429,1,1,0,2015,5,20,0,350
15,3,7734,817,1,1,0,2015,5,20,0,4080
16,3,3650,390,1,1,0,2015,5,20,1,410
17,3,5796,481,1,1,0,2015,5,20,1,2380
18,3,5147,356,1,1,0,2015,5,20,1,7860
19,3,4776,377,1,1,0,2015,5,20,0,1980
20,3,5607,737,1,1,0,2015,5,20,0,690
1,2,6388,631,1,1,0,2015,5,19,0,570
2,2,7367,716,1,1,0,2015,5,19,0,8780
3,2,4415,490,1,1,0,2015,5,19,0,290
4,2,4952,411,1,1,0,2015,5,19,1,6880
5,2,10515,920,1,1,0,2015,5,19,0,1070
6,2,9253,636,1,1,0,2015,5,19,1,8250
7,2,6048,614,1,1,0,2015,5,19,0,1080
8,2,6355,475,1,1,0,2015,5,19,0,2460
9,2,11956,1635,1,1,0,2015,5,19,0,220
10,2,7341,586,1,1,0,2015,5,19,0,4740
11,2,18029,2129,1,1,0,2015,5,19,0,250
12,2,10284,831,1,1,0,2015,5,19,0,4260
13,2,8413,1106,1,1,0,2015,5,19,0,340
14,2,5399,517,1,1,0,2015,5,19,0,350
15,2,7886,873,1,1,0,2015,5,19,0,4080
16,2,3688,434,1,1,0,2015,5,19,1,410
17,2,6300,456,1,1,0,2015,5,19,1,2380
18,2,4803,336,1,1,0,2015,5,19,1,7860
19,2,4932,405,1,1,0,2015,5,19,0,1980
20,2,5968,754,1,1,0,2015,5,19,0,690
1,1,8078,747,1,1,0,2015,5,18,0,570
2,1,9014,813,1,1,0,2015,5,18,0,8780
3,1,5382,509,1,1,0,2015,5,18,0,290
4,1,7197,521,1,1,0,2015,5,18,1,6880
5,1,11921,1012,1,1,0,2015,5,18,0,1070
6,1,10046,716,1,1,0,2015,5,18,1,8250
7,1,7185,655,1,1,0,2015,5,18,0,1080
8,1,7227,560,1,1,0,2015,5,18,0,2460
9,1,13713,1723,1,1,0,2015,5,18,0,220
10,1,8402,663,1,1,0,2015,5,18,0,4740
11,1,20927,2292,1,1,0,2015,5,18,0,250
12,1,12409,974,1,1,0,2015,5,18,0,4260
13,1,10614,1257,1,1,0,2015,5,18,0,340
14,1,6197,602,1,1,0,2015,5,18,0,350
15,1,10202,1068,1,1,0,2015,5,18,0,4080
16,1,4317,455,1,1,0,2015,5,18,1,410
17,1,8520,625,1,1,0,2015,5,18,1,2380
18,1,5181,398,1,1,0,2015,5,18,1,7860
19,1,6229,475,1,1,0,2015,5,18,0,1980
20,1,6975,825,1,1,0,2015,5,18,0,690
1,7,0,0,0,0,0,2015,5,17,0,570
2,7,0,0,0,0,0,2015,5,17,0,8780
3,7,0,0,0,0,0,2015,5,17,0,290
4,7,0,0,0,0,0,2015,5,17,1,6880
5,7,0,0,0,0,0,2015,5,17,0,1070
6,7,0,0,0,0,0,2015,5,17,1,8250
7,7,0,0,0,0,0,2015,5,17,0,1080
8,7,0,0,0,0,0,2015,5,17,0,2460
9,7,0,0,0,0,0,2015,5,17,0,220
10,7,0,0,0,0,0,2015,5,17,0,4740
11,7,0,0,0,0,0,2015,5,17,0,250
12,7,0,0,0,0,0,2015,5,17,0,4260
13,7,0,0,0,0,0,2015,5,17,0,340
14,7,0,0,0,0,0,2015,5,17,0,350
15,7,0,0,0,0,0,2015,5,17,0,4080
16,7,0,0,0,0,0,2015,5,17,1,410
17,7,0,0,0,0,0,2015,5,17,1,2380
18,7,0,0,0,0,0,2015,5,17,1,7860
19,7,0,0,0,0,0,2015,5,17,0,1980
20,7,0,0,0,0,0,2015,5,17,0,690
1,6,2831,337,1,0,0,2015,5,16,0,570
2,6,2267,200,1,0,0,2015,5,16,0,8780
3,6,721,101,1,0,0,2015,5,16,0,290
4,6,3328,327,1,0,0,2015,5,16,1,6880
5,6,7258,823,1,0,0,2015,5,16,0,1070
6,6,7247,625,1,0,0,2015,5,16,1,8250
7,6,2771,346,1,0,0,2015,5,16,0,1080
8,6,5464,464,1,0,0,2015,5,16,0,2460
9,6,8693,1263,1,0,0,2015,5,16,0,220
10,6,4385,368,1,0,0,2015,5,16,0,4740
11,6,8530,1246,1,0,0,2015,5,16,0,250
12,6,4343,430,1,0,0,2015,5,16,0,4260
13,6,6800,973,1,0,0,2015,5,16,0,340
14,6,1056,121,1,0,0,2015,5,16,0,350
15,6,4986,566,1,0,0,2015,5,16,0,4080
16,6,3416,412,1,0,0,2015,5,16,1,410
17,6,5598,487,1,0,0,2015,5,16,1,2380
18,6,5544,399,1,0,0,2015,5,16,1,7860
19,6,2370,217,1,0,0,2015,5,16,0,1980
20,6,3339,566,1,0,0,2015,5,16,0,690
1,5,5293,592,1,0,1,2015,5,15,0,570
2,5,5388,569,1,0,1,2015,5,15,0,8780
3,5,2480,368,1,0,1,2015,5,15,0,290
4,5,4728,432,1,0,0,2015,5,15,1,6880
5,5,9559,1157,1,0,0,2015,5,15,0,1070
6,5,9090,731,1,0,0,2015,5,15,1,8250
7,5,4132,491,1,0,0,2015,5,15,0,1080
8,5,6660,539,1,0,0,2015,5,15,0,2460
9,5,11247,1598,1,0,0,2015,5,15,0,220
10,5,5989,540,1,0,0,2015,5,15,0,4740
11,5,14180,1938,1,0,1,2015,5,15,0,250
12,5,7378,668,1,0,0,2015,5,15,0,4260
13,5,6741,840,1,0,0,2015,5,15,0,340
14,5,4219,540,1,0,1,2015,5,15,0,350
15,5,8345,1059,1,0,0,2015,5,15,0,4080
16,5,3626,457,1,0,0,2015,5,15,1,410
17,5,5709,528,1,0,0,2015,5,15,1,2380
18,5,6550,443,1,0,0,2015,5,15,1,7860
19,5,4603,429,1,0,0,2015,5,15,0,1980
20,5,5739,876,1,0,1,2015,5,15,0,690
1,4,0,0,0,0,0,2015,5,14,0,570
2,4,0,0,0,0,0,2015,5,14,0,8780
3,4,0,0,0,0,0,2015,5,14,0,290
4,4,0,0,0,0,0,2015,5,14,1,6880
5,4,0,0,0,0,0,2015,5,14,0,1070
6,4,0,0,0,0,0,2015,5,14,1,8250
7,4,0,0,0,0,0,2015,5,14,0,1080
8,4,0,0,0,0,0,2015,5,14,0,2460
9,4,0,0,0,0,0,2015,5,14,0,220
10,4,0,0,0,0,0,2015,5,14,0,4740
11,4,0,0,0,0,0,2015,5,14,0,250
12,4,0,0,0,0,0,2015,5,14,0,4260
13,4,0,0,0,0,0,2015,5,14,0,340
14,4,0,0,0,0,0,2015,5,14,0,350
15,4,0,0,0,0,0,2015,5,14,0,4080
16,4,0,0,0,0,0,2015,5,14,1,410
17,4,0,0,0,0,0,2015,5,14,1,2380
18,4,0,0,0,0,0,2015,5,14,1,7860
19,4,0,0,0,0,0,2015,5,14,0,1980
20,4,0,0,0,0,0,2015,5,14,0,690
1,3,5662,734,1,0,0,2015,5,13,0,570
2,3,6295,662,1,0,0,2015,5,13,0,8780
3,3,2147,281,1,0,0,2015,5,13,0,290
4,3,4079,387,1,0,0,2015,5,13,1,6880
5,3,8083,904,1,0,0,2015,5,13,0,1070
6,3,8116,757,1,0,0,2015,5,13,1,8250
7,3,3951,507,1,0,0,2015,5,13,0,1080
8,3,6137,520,1,0,0,2015,5,13,0,2460
9,3,10180,1563,1,0,0,2015,5,13,0,220
10,3,5969,521,1,0,0,2015,5,13,0,4740
11,3,13603,1768,1,0,0,2015,5,13,0,250
12,3,7359,719,1,0,0,2015,5,13,0,4260
13,3,6877,1054,1,0,0,2015,5,13,0,340
14,3,3216,410,1,0,0,2015,5,13,0,350
15,3,6846,930,1,0,0,2015,5,13,0,4080
16,3,3542,399,1,0,0,2015,5,13,1,410
17,3,6685,579,1,0,0,2015,5,13,1,2380
18,3,5185,422,1,0,0,2015,5,13,1,7860
19,3,4182,409,1,0,0,2015,5,13,0,1980
20,3,4709,761,1,0,0,2015,5,13,0,690
1,2,4319,541,1,0,0,2015,5,12,0,570
2,2,5356,591,1,0,0,2015,5,12,0,8780
3,2,2748,383,1,0,0,2015,5,12,0,290
4,2,2626,281,1,0,0,2015,5,12,1,6880
5,2,7734,832,1,0,0,2015,5,12,0,1070
6,2,6125,544,1,0,0,2015,5,12,1,8250
7,2,3548,420,1,0,0,2015,5,12,0,1080
8,2,4495,400,1,0,0,2015,5,12,0,2460
9,2,8022,1342,1,0,0,2015,5,12,0,220
10,2,4679,426,1,0,0,2015,5,12,0,4740
11,2,11391,1675,1,0,0,2015,5,12,0,250
12,2,5692,557,1,0,0,2015,5,12,0,4260
13,2,6643,1023,1,0,0,2015,5,12,0,340
14,2,3041,377,1,0,0,2015,5,12,0,350
15,2,6602,841,1,0,0,2015,5,12,0,4080
16,2,2807,379,1,0,0,2015,5,12,1,410
17,2,4679,420,1,0,0,2015,5,12,1,2380
18,2,3729,310,1,0,0,2015,5,12,1,7860
19,2,3108,306,1,0,0,2015,5,12,0,1980
20,2,4431,727,1,0,0,2015,5,12,0,690
1,1,4521,544,1,0,0,2015,5,11,0,570
2,1,4923,555,1,0,0,2015,5,11,0,8780
3,1,2004,260,1,0,0,2015,5,11,0,290
4,1,2993,311,1,0,0,2015,5,11,1,6880
5,1,7317,803,1,0,0,2015,5,11,0,1070
6,1,5862,519,1,0,0,2015,5,11,1,8250
7,1,3311,415,1,0,0,2015,5,11,0,1080
8,1,4250,413,1,0,0,2015,5,11,0,2460
9,1,9774,1559,1,0,0,2015,5,11,0,220
10,1,5513,490,1,0,0,2015,5,11,0,4740
11,1,12941,1789,1,0,0,2015,5,11,0,250
12,1,6051,626,1,0,0,2015,5,11,0,4260
13,1,6310,982,1,0,0,2015,5,11,0,340
14,1,2664,364,1,0,0,2015,5,11,0,350
15,1,6054,807,1,0,0,2015,5,11,0,4080
16,1,2825,383,1,0,0,2015,5,11,1,410
17,1,4150,405,1,0,0,2015,5,11,1,2380
18,1,3531,283,1,0,0,2015,5,11,1,7860
19,1,3337,334,1,0,0,2015,5,11,0,1980
20,1,4700,694,1,0,0,2015,5,11,0,690
1,7,0,0,0,0,0,2015,5,10,0,570
2,7,0,0,0,0,0,2015,5,10,0,8780
3,7,0,0,0,0,0,2015,5,10,0,290
4,7,0,0,0,0,0,2015,5,10,1,6880
5,7,0,0,0,0,0,2015,5,10,0,1070
6,7,0,0,0,0,0,2015,5,10,1,8250
7,7,0,0,0,0,0,2015,5,10,0,1080
8,7,0,0,0,0,0,2015,5,10,0,2460
9,7,0,0,0,0,0,2015,5,10,0,220
10,7,0,0,0,0,0,2015,5,10,0,4740
11,7,0,0,0,0,0,2015,5,10,0,250
12,7,0,0,0,0,0,2015,5,10,0,4260
13,7,0,0,0,0,0,2015,5,10,0,340
14,7,0,0,0,0,0,2015,5,10,0,350
15,7,0,0,0,0,0,2015,5,10,0,4080
16,7,0,0,0,0,0,2015,5,10,1,410
17,7,0,0,0,0,0,2015,5,10,1,2380
18,7,0,0,0,0,0,2015,5,10,1,7860
19,7,0,0,0,0,0,2015,5,10,0,1980
20,7,0,0,0,0,0,2015,5,10,0,690
1,6,2722,348,1,0,0,2015,5,9,0,570
2,6,2589,251,1,0,0,2015,5,9,0,8780
3,6,930,114,1,0,0,2015,5,9,0,290
4,6,3910,367,1,0,0,2015,5,9,1,6880
5,6,7727,797,1,0,0,2015,5,9,0,1070
6,6,8187,691,1,0,0,2015,5,9,1,8250
7,6,3259,365,1,0,0,2015,5,9,0,1080
8,6,5084,446,1,0,0,2015,5,9,0,2460
9,6,9576,1416,1,0,0,2015,5,9,0,220
10,6,4012,370,1,0,0,2015,5,9,0,4740
11,6,9247,1365,1,0,0,2015,5,9,0,250
12,6,4221,447,1,0,0,2015,5,9,0,4260
13,6,6402,958,1,0,0,2015,5,9,0,340
14,6,1296,158,1,0,0,2015,5,9,0,350
15,6,5333,657,1,0,0,2015,5,9,0,4080
16,6,3154,356,1,0,0,2015,5,9,1,410
17,6,6317,535,1,0,0,2015,5,9,1,2380
18,6,4956,373,1,0,0,2015,5,9,1,7860
19,6,2285,220,1,0,0,2015,5,9,0,1980
20,6,3702,588,1,0,0,2015,5,9,0,690
1,5,5734,753,1,1,0,2015,5,8,0,570
2,5,5486,544,1,1,0,2015,5,8,0,8780
3,5,3580,416,1,1,0,2015,5,8,0,290
4,5,4667,405,1,1,0,2015,5,8,1,6880
5,5,9960,973,1,1,0,2015,5,8,0,1070
6,5,8917,695,1,1,0,2015,5,8,1,8250
7,5,4793,501,1,1,0,2015,5,8,0,1080
8,5,6606,492,1,1,0,2015,5,8,0,2460
9,5,12020,1643,1,1,0,2015,5,8,0,220
10,5,6660,540,1,1,0,2015,5,8,0,4740
11,5,14102,1852,1,1,0,2015,5,8,0,250
12,5,9078,780,1,1,0,2015,5,8,0,4260
13,5,7669,1019,1,1,0,2015,5,8,0,340
14,5,5189,566,1,1,0,2015,5,8,0,350
15,5,8534,956,1,1,0,2015,5,8,0,4080
16,5,3644,424,1,1,0,2015,5,8,1,410
17,5,5816,510,1,1,0,2015,5,8,1,2380
18,5,5198,387,1,1,0,2015,5,8,1,7860
19,5,4496,395,1,1,0,2015,5,8,0,1980
20,5,4882,695,1,1,0,2015,5,8,0,690
1,4,5382,597,1,1,0,2015,5,7,0,570
2,4,5518,578,1,1,0,2015,5,7,0,8780
3,4,3471,389,1,1,0,2015,5,7,0,290
4,4,5180,405,1,1,0,2015,5,7,1,6880
5,4,9796,945,1,1,0,2015,5,7,0,1070
6,4,8896,687,1,1,0,2015,5,7,1,8250
7,4,5629,560,1,1,0,2015,5,7,0,1080
8,4,5907,474,1,1,0,2015,5,7,0,2460
9,4,11485,1574,1,1,0,2015,5,7,0,220
10,4,6956,585,1,1,0,2015,5,7,0,4740
11,4,14985,1812,1,1,0,2015,5,7,0,250
12,4,8737,768,1,1,0,2015,5,7,0,4260
13,4,8291,1166,1,1,0,2015,5,7,0,340
14,4,4732,479,1,1,0,2015,5,7,0,350
15,4,7152,849,1,1,0,2015,5,7,0,4080
16,4,3394,394,1,1,0,2015,5,7,1,410
17,4,5793,485,1,1,0,2015,5,7,1,2380
18,4,5042,351,1,1,0,2015,5,7,1,7860
19,4,4624,340,1,1,0,2015,5,7,0,1980
20,4,5856,742,1,1,0,2015,5,7,0,690
1,3,6558,780,1,1,0,2015,5,6,0,570
2,3,6430,667,1,1,0,2015,5,6,0,8780
3,3,3195,350,1,1,0,2015,5,6,0,290
4,3,4287,362,1,1,0,2015,5,6,1,6880
5,3,11077,1004,1,1,0,2015,5,6,0,1070
6,3,8490,597,1,1,0,2015,5,6,1,8250
7,3,5177,539,1,1,0,2015,5,6,0,1080
8,3,6328,480,1,1,0,2015,5,6,0,2460
9,3,11905,1627,1,1,0,2015,5,6,0,220
10,3,6946,535,1,1,0,2015,5,6,0,4740
11,3,16158,1912,1,1,0,2015,5,6,0,250
12,3,10066,817,1,1,0,2015,5,6,0,4260
13,3,8637,1132,1,1,0,2015,5,6,0,340
14,3,4586,471,1,1,0,2015,5,6,0,350
15,3,8074,923,1,1,0,2015,5,6,0,4080
16,3,3428,399,1,1,0,2015,5,6,1,410
17,3,5784,467,1,1,0,2015,5,6,1,2380
18,3,4713,324,1,1,0,2015,5,6,1,7860
19,3,4552,373,1,1,0,2015,5,6,0,1980
20,3,5474,711,1,1,0,2015,5,6,0,690
1,2,6295,653,1,1,0,2015,5,5,0,570
2,2,7375,670,1,1,0,2015,5,5,0,8780
3,2,4363,512,1,1,0,2015,5,5,0,290
4,2,4680,380,1,1,0,2015,5,5,1,6880
